Namespace(augment=False, batchSize=32, beta1=0.5, cuda=True, data='lung', decay_lr=False, dropout=0.5, earlystop=False, experiment='sb37', imgSize=299, init='normal', lr=0.001, metadata=False, method='average', model='', nc=3, ngpu=1, niter=25, nonlinearity='relu', optimizer='Adam')

old comet version (0.1.68) detected. current: 1.0.10 please update your comet lib with command: `pip install --no-cache-dir --upgrade comet_ml`

Experiment is live on comet.ml https://www.comet.ml/charrrrtreuse/general/30070a2e0f964a85af9689ab1d61bcf7

Random Seed:  5033
Loading from: TCGA-LUAD
Loading from: TCGA-LUSC
Loading from: Solid_Tissue_Normal
Finished loading train dataset: 461823 samples
Loading from: TCGA-LUAD
Loading from: TCGA-LUSC
Loading from: Solid_Tissue_Normal
Finished loading valid dataset: 105872 samples
Class encoding:
{'Solid_Tissue_Normal': 0, 'TCGA-LUAD': 1, 'TCGA-LUSC': 2}
cancer_CNN (
  (conv1): BasicConv2d (
    (conv): Conv2d(3, 16, kernel_size=(5, 5), stride=(2, 2), padding=(1, 1))
    (bn): BatchNorm2d(16, eps=0.001, momentum=0.1, affine=True)
    (relu): ReLU ()
    (dropout): Dropout (p = 0.5)
  )
  (conv2): BasicConv2d (
    (conv): Conv2d(16, 32, kernel_size=(3, 3), stride=(1, 1))
    (bn): BatchNorm2d(32, eps=0.001, momentum=0.1, affine=True)
    (relu): ReLU ()
    (dropout): Dropout (p = 0.5)
  )
  (conv3): BasicConv2d (
    (conv): Conv2d(32, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (bn): BatchNorm2d(64, eps=0.001, momentum=0.1, affine=True)
    (relu): ReLU ()
    (dropout): Dropout (p = 0.5)
  )
  (conv4): BasicConv2d (
    (conv): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (bn): BatchNorm2d(64, eps=0.001, momentum=0.1, affine=True)
    (relu): ReLU ()
    (dropout): Dropout (p = 0.5)
  )
  (conv5): BasicConv2d (
    (conv): Conv2d(64, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (bn): BatchNorm2d(128, eps=0.001, momentum=0.1, affine=True)
    (relu): ReLU ()
    (dropout): Dropout (p = 0.5)
  )
  (conv6): BasicConv2d (
    (conv): Conv2d(128, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (bn): BatchNorm2d(64, eps=0.001, momentum=0.1, affine=True)
    (relu): ReLU ()
    (dropout): Dropout (p = 0.5)
  )
  (linear): Linear (5184 -> 3)
)
No early stopping implemented
[0/25][56/14432] Training Loss: 1.041482 
[0/25][57/14432] Training Loss: 1.061080 
[0/25][58/14432] Training Loss: 0.910890 
[0/25][59/14432] Training Loss: 0.874162 
[0/25][60/14432] Training Loss: 0.899460 
[0/25][61/14432] Training Loss: 1.102729 
[0/25][62/14432] Training Loss: 1.093939 
[0/25][63/14432] Training Loss: 0.919666 
[0/25][64/14432] Training Loss: 1.012412 
[0/25][65/14432] Training Loss: 0.994364 
[0/25][66/14432] Training Loss: 1.021154 
[0/25][67/14432] Training Loss: 1.009953 
[0/25][68/14432] Training Loss: 1.086344 
[0/25][69/14432] Training Loss: 1.098473 
[0/25][70/14432] Training Loss: 0.911664 
[0/25][71/14432] Training Loss: 1.081264 
[0/25][72/14432] Training Loss: 1.081071 
[0/25][73/14432] Training Loss: 1.202506 
[0/25][74/14432] Training Loss: 0.980088 
[0/25][75/14432] Training Loss: 1.169101 
[0/25][76/14432] Training Loss: 1.109755 
[0/25][77/14432] Training Loss: 0.963192 
[0/25][78/14432] Training Loss: 1.036020 
[0/25][79/14432] Training Loss: 1.128361 
[0/25][80/14432] Training Loss: 1.072652 
[0/25][81/14432] Training Loss: 1.045482 
[0/25][82/14432] Training Loss: 1.011442 
[0/25][83/14432] Training Loss: 1.150183 
[0/25][84/14432] Training Loss: 1.012894 
[0/25][85/14432] Training Loss: 0.885559 
[0/25][86/14432] Training Loss: 1.051368 
[0/25][87/14432] Training Loss: 1.069225 
[0/25][88/14432] Training Loss: 0.932428 
[0/25][89/14432] Training Loss: 0.921835 
[0/25][90/14432] Training Loss: 0.929771 
[0/25][91/14432] Training Loss: 0.970507 
[0/25][92/14432] Training Loss: 0.928643 
[0/25][93/14432] Training Loss: 1.075971 
[0/25][94/14432] Training Loss: 1.078774 
[0/25][95/14432] Training Loss: 1.038018 
[0/25][96/14432] Training Loss: 1.051191 
[0/25][97/14432] Training Loss: 1.024997 
[0/25][98/14432] Training Loss: 0.904255 
[0/25][99/14432] Training Loss: 1.128432 
[0/25][100/14432] Training Loss: 1.049129 
[0/25][101/14432] Training Loss: 1.067883 
[0/25][102/14432] Training Loss: 0.851322 
[0/25][103/14432] Training Loss: 0.856198 
[0/25][104/14432] Training Loss: 0.997556 
[0/25][105/14432] Training Loss: 0.965660 
[0/25][106/14432] Training Loss: 1.162755 
[0/25][107/14432] Training Loss: 1.221901 
[0/25][108/14432] Training Loss: 1.004805 
[0/25][109/14432] Training Loss: 1.058693 
[0/25][110/14432] Training Loss: 1.043935 
[0/25][111/14432] Training Loss: 1.104259 
[0/25][112/14432] Training Loss: 1.115199 
[0/25][113/14432] Training Loss: 1.028407 
[0/25][114/14432] Training Loss: 0.984957 
[0/25][115/14432] Training Loss: 0.996578 
[0/25][116/14432] Training Loss: 1.051434 
[0/25][117/14432] Training Loss: 0.971161 
[0/25][118/14432] Training Loss: 0.914084 
[0/25][119/14432] Training Loss: 1.021756 
[0/25][120/14432] Training Loss: 1.072970 
[0/25][121/14432] Training Loss: 1.054242 
[0/25][122/14432] Training Loss: 0.954539 
[0/25][123/14432] Training Loss: 0.971869 
[0/25][124/14432] Training Loss: 1.003796 
[0/25][125/14432] Training Loss: 1.190960 
[0/25][126/14432] Training Loss: 0.925959 
[0/25][127/14432] Training Loss: 0.986391 
[0/25][128/14432] Training Loss: 0.901982 
[0/25][129/14432] Training Loss: 0.989954 
[0/25][130/14432] Training Loss: 0.975849 
[0/25][131/14432] Training Loss: 0.888102 
[0/25][132/14432] Training Loss: 0.945584 
[0/25][133/14432] Training Loss: 1.040360 
[0/25][134/14432] Training Loss: 0.843330 
[0/25][135/14432] Training Loss: 1.058956 
[0/25][136/14432] Training Loss: 1.090773 
[0/25][137/14432] Training Loss: 0.978767 
[0/25][138/14432] Training Loss: 1.219798 
[0/25][139/14432] Training Loss: 0.982919 
[0/25][140/14432] Training Loss: 1.230088 
[0/25][141/14432] Training Loss: 0.940339 
[0/25][142/14432] Training Loss: 0.984965 
[0/25][143/14432] Training Loss: 0.826313 
[0/25][144/14432] Training Loss: 1.039664 
[0/25][145/14432] Training Loss: 1.165798 
[0/25][146/14432] Training Loss: 1.084655 
[0/25][147/14432] Training Loss: 0.967545 
[0/25][148/14432] Training Loss: 0.956550 
[0/25][149/14432] Training Loss: 1.030647 
[0/25][150/14432] Training Loss: 1.092520 
[0/25][151/14432] Training Loss: 1.075176 
[0/25][152/14432] Training Loss: 1.134105 
[0/25][153/14432] Training Loss: 1.003602 
[0/25][154/14432] Training Loss: 1.021045 
[0/25][155/14432] Training Loss: 1.043636 
[0/25][156/14432] Training Loss: 0.944888 
[0/25][157/14432] Training Loss: 0.993058 
[0/25][158/14432] Training Loss: 1.003773 
[0/25][159/14432] Training Loss: 0.967446 
[0/25][160/14432] Training Loss: 0.943031 
[0/25][161/14432] Training Loss: 0.905166 
[0/25][162/14432] Training Loss: 0.961815 
[0/25][163/14432] Training Loss: 0.850803 
[0/25][164/14432] Training Loss: 1.220276 
[0/25][165/14432] Training Loss: 1.005185 
[0/25][166/14432] Training Loss: 1.086022 
[0/25][167/14432] Training Loss: 1.251839 
[0/25][168/14432] Training Loss: 1.160968 
[0/25][169/14432] Training Loss: 1.068605 
[0/25][170/14432] Training Loss: 1.043323 
[0/25][171/14432] Training Loss: 0.972057 
[0/25][172/14432] Training Loss: 1.142233 
[0/25][173/14432] Training Loss: 1.010443 
[0/25][174/14432] Training Loss: 0.951693 
[0/25][175/14432] Training Loss: 0.998906 
[0/25][176/14432] Training Loss: 0.956038 
[0/25][177/14432] Training Loss: 1.001931 
[0/25][178/14432] Training Loss: 1.315540 
[0/25][179/14432] Training Loss: 1.133816 
[0/25][180/14432] Training Loss: 0.951067 
[0/25][181/14432] Training Loss: 1.003796 
[0/25][182/14432] Training Loss: 0.958878 
[0/25][183/14432] Training Loss: 1.050376 
[0/25][184/14432] Training Loss: 0.993882 
[0/25][185/14432] Training Loss: 1.001887 
[0/25][186/14432] Training Loss: 0.937952 
[0/25][187/14432] Training Loss: 1.141343 
[0/25][188/14432] Training Loss: 0.896137 
[0/25][189/14432] Training Loss: 1.002589 
[0/25][190/14432] Training Loss: 0.966148 
[0/25][191/14432] Training Loss: 1.083085 
[0/25][192/14432] Training Loss: 1.035493 
[0/25][193/14432] Training Loss: 0.990709 
[0/25][194/14432] Training Loss: 1.002221 
[0/25][195/14432] Training Loss: 1.017798 
[0/25][196/14432] Training Loss: 0.984076 
[0/25][197/14432] Training Loss: 0.921546 
[0/25][198/14432] Training Loss: 1.107319 
[0/25][199/14432] Training Loss: 1.031422 
[0/25][200/14432] Training Loss: 1.022434 
[0/25][201/14432] Training Loss: 1.074359 
[0/25][202/14432] Training Loss: 1.117312 
[0/25][203/14432] Training Loss: 0.965936 
[0/25][204/14432] Training Loss: 0.981505 
[0/25][205/14432] Training Loss: 0.877981 
[0/25][206/14432] Training Loss: 0.873116 
[0/25][207/14432] Training Loss: 0.911666 
[0/25][208/14432] Training Loss: 0.947607 
[0/25][209/14432] Training Loss: 1.190328 
[0/25][210/14432] Training Loss: 1.074423 
[0/25][211/14432] Training Loss: 1.128087 
[0/25][212/14432] Training Loss: 1.124283 
[0/25][213/14432] Training Loss: 1.006048 
[0/25][214/14432] Training Loss: 0.927458 
[0/25][215/14432] Training Loss: 0.937558 
[0/25][216/14432] Training Loss: 0.940634 
[0/25][217/14432] Training Loss: 1.038926 
[0/25][218/14432] Training Loss: 0.949861 
[0/25][219/14432] Training Loss: 0.966964 
[0/25][220/14432] Training Loss: 1.249287 
[0/25][221/14432] Training Loss: 0.874859 
[0/25][222/14432] Training Loss: 1.043927 
[0/25][223/14432] Training Loss: 1.081185 
[0/25][224/14432] Training Loss: 1.088132 
[0/25][225/14432] Training Loss: 1.042193 
[0/25][226/14432] Training Loss: 0.968241 
[0/25][227/14432] Training Loss: 0.925777 
[0/25][228/14432] Training Loss: 1.045576 
[0/25][229/14432] Training Loss: 1.145952 
[0/25][230/14432] Training Loss: 0.996171 
[0/25][231/14432] Training Loss: 1.049495 
[0/25][232/14432] Training Loss: 1.054706 
[0/25][233/14432] Training Loss: 0.968866 
[0/25][234/14432] Training Loss: 1.117151 
[0/25][235/14432] Training Loss: 1.072737 
[0/25][236/14432] Training Loss: 1.021997 
[0/25][237/14432] Training Loss: 0.990439 
[0/25][238/14432] Training Loss: 0.951095 
[0/25][239/14432] Training Loss: 1.087142 
[0/25][240/14432] Training Loss: 0.975488 
[0/25][241/14432] Training Loss: 1.064425 
[0/25][242/14432] Training Loss: 1.118959 
[0/25][243/14432] Training Loss: 1.088207 
[0/25][244/14432] Training Loss: 0.985980 
[0/25][245/14432] Training Loss: 1.044588 
[0/25][246/14432] Training Loss: 1.017428 
[0/25][247/14432] Training Loss: 0.973489 
[0/25][248/14432] Training Loss: 0.935663 
[0/25][249/14432] Training Loss: 1.006412 
[0/25][250/14432] Training Loss: 0.950793 
[0/25][251/14432] Training Loss: 1.089181 
[0/25][252/14432] Training Loss: 1.092162 
[0/25][253/14432] Training Loss: 1.067682 
[0/25][254/14432] Training Loss: 1.028378 
[0/25][255/14432] Training Loss: 0.955132 
[0/25][256/14432] Training Loss: 1.059402 
[0/25][257/14432] Training Loss: 1.021444 
[0/25][258/14432] Training Loss: 1.058112 
[0/25][259/14432] Training Loss: 1.124712 
[0/25][260/14432] Training Loss: 0.945887 
[0/25][261/14432] Training Loss: 0.920593 
[0/25][262/14432] Training Loss: 1.082631 
[0/25][263/14432] Training Loss: 1.011499 
[0/25][264/14432] Training Loss: 1.088657 
[0/25][265/14432] Training Loss: 1.036743 
[0/25][266/14432] Training Loss: 1.023731 
[0/25][267/14432] Training Loss: 0.933559 
[0/25][268/14432] Training Loss: 1.126996 
[0/25][269/14432] Training Loss: 0.998300 
[0/25][270/14432] Training Loss: 1.059651 
[0/25][271/14432] Training Loss: 0.943720 
[0/25][272/14432] Training Loss: 0.977572 
[0/25][273/14432] Training Loss: 1.013666 
[0/25][274/14432] Training Loss: 0.959159 
[0/25][275/14432] Training Loss: 0.948302 
[0/25][276/14432] Training Loss: 1.034842 
[0/25][277/14432] Training Loss: 0.953539 
[0/25][278/14432] Training Loss: 1.011034 
[0/25][279/14432] Training Loss: 1.154538 
[0/25][280/14432] Training Loss: 0.903369 
[0/25][281/14432] Training Loss: 0.871730 
[0/25][282/14432] Training Loss: 1.160628 
[0/25][283/14432] Training Loss: 1.074297 
[0/25][284/14432] Training Loss: 1.027074 
[0/25][285/14432] Training Loss: 0.977021 
[0/25][286/14432] Training Loss: 1.099948 
[0/25][287/14432] Training Loss: 1.089900 
[0/25][288/14432] Training Loss: 0.971061 
[0/25][289/14432] Training Loss: 1.073373 
[0/25][290/14432] Training Loss: 1.092734 
[0/25][291/14432] Training Loss: 1.031323 
[0/25][292/14432] Training Loss: 0.975847 
[0/25][293/14432] Training Loss: 1.063225 
[0/25][294/14432] Training Loss: 0.945410 
[0/25][295/14432] Training Loss: 0.943793 
[0/25][296/14432] Training Loss: 1.050283 
[0/25][297/14432] Training Loss: 0.956234 
[0/25][298/14432] Training Loss: 0.935763 
[0/25][299/14432] Training Loss: 0.935318 
[0/25][300/14432] Training Loss: 1.006805 
[0/25][301/14432] Training Loss: 0.952940 
[0/25][302/14432] Training Loss: 1.066024 
[0/25][303/14432] Training Loss: 0.954532 
[0/25][304/14432] Training Loss: 0.991533 
[0/25][305/14432] Training Loss: 1.053105 
[0/25][306/14432] Training Loss: 0.983432 
[0/25][307/14432] Training Loss: 0.939841 
[0/25][308/14432] Training Loss: 1.058929 
[0/25][309/14432] Training Loss: 1.002935 
[0/25][310/14432] Training Loss: 1.114547 
[0/25][311/14432] Training Loss: 0.996605 
[0/25][312/14432] Training Loss: 1.007571 
[0/25][313/14432] Training Loss: 0.944700 
[0/25][314/14432] Training Loss: 0.894177 
[0/25][315/14432] Training Loss: 0.968368 
[0/25][316/14432] Training Loss: 0.951774 
[0/25][317/14432] Training Loss: 1.050143 
[0/25][318/14432] Training Loss: 0.903443 
[0/25][319/14432] Training Loss: 0.943797 
[0/25][320/14432] Training Loss: 0.837092 
[0/25][321/14432] Training Loss: 0.847883 
[0/25][322/14432] Training Loss: 1.071558 
[0/25][323/14432] Training Loss: 1.072921 
[0/25][324/14432] Training Loss: 0.968339 
[0/25][325/14432] Training Loss: 1.052747 
[0/25][326/14432] Training Loss: 1.139673 
[0/25][327/14432] Training Loss: 0.915253 
[0/25][328/14432] Training Loss: 0.944325 
[0/25][329/14432] Training Loss: 1.045848 
[0/25][330/14432] Training Loss: 1.058654 
[0/25][331/14432] Training Loss: 1.045569 
[0/25][332/14432] Training Loss: 0.899800 
[0/25][333/14432] Training Loss: 0.979591 
[0/25][334/14432] Training Loss: 0.902699 
[0/25][335/14432] Training Loss: 0.870341 
[0/25][336/14432] Training Loss: 1.037768 
[0/25][337/14432] Training Loss: 1.045685 
[0/25][338/14432] Training Loss: 0.988909 
[0/25][339/14432] Training Loss: 1.218323 
[0/25][340/14432] Training Loss: 0.957255 
[0/25][341/14432] Training Loss: 1.020511 
[0/25][342/14432] Training Loss: 1.084545 
[0/25][343/14432] Training Loss: 0.982900 
[0/25][344/14432] Training Loss: 0.992696 
[0/25][345/14432] Training Loss: 1.001539 
[0/25][346/14432] Training Loss: 0.939303 
[0/25][347/14432] Training Loss: 1.046795 
[0/25][348/14432] Training Loss: 1.084586 
[0/25][349/14432] Training Loss: 1.048852 
[0/25][350/14432] Training Loss: 0.996261 
[0/25][351/14432] Training Loss: 1.000431 
[0/25][352/14432] Training Loss: 1.058080 
[0/25][353/14432] Training Loss: 1.015516 
[0/25][354/14432] Training Loss: 1.145858 
[0/25][355/14432] Training Loss: 1.039307 
[0/25][356/14432] Training Loss: 0.917771 
[0/25][357/14432] Training Loss: 0.998423 
[0/25][358/14432] Training Loss: 1.104770 
[0/25][359/14432] Training Loss: 0.953051 
[0/25][360/14432] Training Loss: 0.980670 
[0/25][361/14432] Training Loss: 1.031772 
[0/25][362/14432] Training Loss: 1.039923 
[0/25][363/14432] Training Loss: 1.141134 
[0/25][364/14432] Training Loss: 1.050041 
[0/25][365/14432] Training Loss: 0.948662 
[0/25][366/14432] Training Loss: 1.036837 
[0/25][367/14432] Training Loss: 1.004094 
[0/25][368/14432] Training Loss: 0.994122 
[0/25][369/14432] Training Loss: 1.013731 
[0/25][370/14432] Training Loss: 0.988261 
[0/25][371/14432] Training Loss: 1.076427 
[0/25][372/14432] Training Loss: 1.077441 
[0/25][373/14432] Training Loss: 1.131277 
[0/25][374/14432] Training Loss: 1.128898 
[0/25][375/14432] Training Loss: 1.023886 
[0/25][376/14432] Training Loss: 0.970639 
[0/25][377/14432] Training Loss: 1.005771 
[0/25][378/14432] Training Loss: 1.007012 
[0/25][379/14432] Training Loss: 1.021012 
[0/25][380/14432] Training Loss: 0.957544 
[0/25][381/14432] Training Loss: 0.988073 
[0/25][382/14432] Training Loss: 0.891199 
[0/25][383/14432] Training Loss: 0.914085 
[0/25][384/14432] Training Loss: 0.927835 
[0/25][385/14432] Training Loss: 1.182096 
[0/25][386/14432] Training Loss: 0.918542 
[0/25][387/14432] Training Loss: 0.896004 
[0/25][388/14432] Training Loss: 0.906163 
[0/25][389/14432] Training Loss: 0.968690 
[0/25][390/14432] Training Loss: 1.041730 
[0/25][391/14432] Training Loss: 1.091452 
[0/25][392/14432] Training Loss: 0.983975 
[0/25][393/14432] Training Loss: 1.080027 
[0/25][394/14432] Training Loss: 0.950476 
[0/25][395/14432] Training Loss: 1.008942 
[0/25][396/14432] Training Loss: 1.035564 
[0/25][397/14432] Training Loss: 0.950179 
[0/25][398/14432] Training Loss: 0.959049 
[0/25][399/14432] Training Loss: 1.038304 
[0/25][400/14432] Training Loss: 1.132909 
[0/25][401/14432] Training Loss: 1.003444 
[0/25][402/14432] Training Loss: 1.159202 
[0/25][403/14432] Training Loss: 1.077686 
[0/25][404/14432] Training Loss: 1.033562 
[0/25][405/14432] Training Loss: 1.026225 
[0/25][406/14432] Training Loss: 1.068042 
[0/25][407/14432] Training Loss: 0.940617 
[0/25][408/14432] Training Loss: 1.006162 
[0/25][409/14432] Training Loss: 1.000067 
[0/25][410/14432] Training Loss: 1.048038 
[0/25][411/14432] Training Loss: 0.959034 
[0/25][412/14432] Training Loss: 0.945094 
[0/25][413/14432] Training Loss: 1.040524 
[0/25][414/14432] Training Loss: 0.952042 
[0/25][415/14432] Training Loss: 0.938828 
[0/25][416/14432] Training Loss: 1.359792 
[0/25][417/14432] Training Loss: 0.900016 
[0/25][418/14432] Training Loss: 1.114342 
[0/25][419/14432] Training Loss: 1.056312 
[0/25][420/14432] Training Loss: 0.982865 
[0/25][421/14432] Training Loss: 1.010861 
[0/25][422/14432] Training Loss: 1.083857 
[0/25][423/14432] Training Loss: 1.002913 
[0/25][424/14432] Training Loss: 0.934267 
[0/25][425/14432] Training Loss: 1.018197 
[0/25][426/14432] Training Loss: 1.090617 
[0/25][427/14432] Training Loss: 0.970339 
[0/25][428/14432] Training Loss: 1.047535 
[0/25][429/14432] Training Loss: 1.005537 
[0/25][430/14432] Training Loss: 1.117087 
[0/25][431/14432] Training Loss: 0.999920 
[0/25][432/14432] Training Loss: 0.977590 
[0/25][433/14432] Training Loss: 1.037105 
[0/25][434/14432] Training Loss: 0.993193 
[0/25][435/14432] Training Loss: 1.084438 
[0/25][436/14432] Training Loss: 1.060629 
[0/25][437/14432] Training Loss: 1.111293 
[0/25][438/14432] Training Loss: 0.981416 
[0/25][439/14432] Training Loss: 1.020795 
[0/25][440/14432] Training Loss: 0.978294 
[0/25][441/14432] Training Loss: 0.990909 
[0/25][442/14432] Training Loss: 1.038974 
[0/25][443/14432] Training Loss: 0.929688 
[0/25][444/14432] Training Loss: 1.013386 
[0/25][445/14432] Training Loss: 1.067910 
[0/25][446/14432] Training Loss: 1.063764 
[0/25][447/14432] Training Loss: 1.070743 
[0/25][448/14432] Training Loss: 0.974228 
[0/25][449/14432] Training Loss: 0.979631 
[0/25][450/14432] Training Loss: 1.063892 
[0/25][451/14432] Training Loss: 1.019267 
[0/25][452/14432] Training Loss: 1.116178 
[0/25][453/14432] Training Loss: 1.037821 
[0/25][454/14432] Training Loss: 0.945747 
[0/25][455/14432] Training Loss: 1.073553 
[0/25][456/14432] Training Loss: 0.981326 
[0/25][457/14432] Training Loss: 1.196092 
[0/25][458/14432] Training Loss: 0.995286 
[0/25][459/14432] Training Loss: 0.900361 
[0/25][460/14432] Training Loss: 1.111305 
[0/25][461/14432] Training Loss: 1.086065 
[0/25][462/14432] Training Loss: 1.050455 
[0/25][463/14432] Training Loss: 1.010277 
[0/25][464/14432] Training Loss: 1.084202 
[0/25][465/14432] Training Loss: 0.981976 
[0/25][466/14432] Training Loss: 1.029419 
[0/25][467/14432] Training Loss: 1.049179 
[0/25][468/14432] Training Loss: 0.946045 
[0/25][469/14432] Training Loss: 1.018788 
[0/25][470/14432] Training Loss: 1.004096 
[0/25][471/14432] Training Loss: 1.072882 
[0/25][472/14432] Training Loss: 1.022054 
[0/25][473/14432] Training Loss: 1.017020 
[0/25][474/14432] Training Loss: 1.085377 
[0/25][475/14432] Training Loss: 1.042482 
[0/25][476/14432] Training Loss: 0.906469 
[0/25][477/14432] Training Loss: 1.005545 
[0/25][478/14432] Training Loss: 1.004941 
[0/25][479/14432] Training Loss: 1.077490 
[0/25][480/14432] Training Loss: 1.076026 
[0/25][481/14432] Training Loss: 0.947833 
[0/25][482/14432] Training Loss: 1.045043 
[0/25][483/14432] Training Loss: 1.004740 
[0/25][484/14432] Training Loss: 1.123920 
[0/25][485/14432] Training Loss: 1.057177 
[0/25][486/14432] Training Loss: 0.893252 
[0/25][487/14432] Training Loss: 1.096253 
[0/25][488/14432] Training Loss: 1.110083 
[0/25][489/14432] Training Loss: 1.058475 
[0/25][490/14432] Training Loss: 0.974589 
[0/25][491/14432] Training Loss: 1.053063 
[0/25][492/14432] Training Loss: 0.924190 
[0/25][493/14432] Training Loss: 1.003359 
[0/25][494/14432] Training Loss: 1.053243 
[0/25][495/14432] Training Loss: 0.925220 
[0/25][496/14432] Training Loss: 1.028619 
[0/25][497/14432] Training Loss: 0.995919 
